4999,Peas with Spinach and Shallots,"['Makes 4 servings', '2 medium shallots, thinly sliced', '2 garlic cloves, thinly sliced', '1 tablespoon vegetable oil', '1 tablespoon unsalted butter', '10 oz frozen peas', '1/4 cup water', '5 oz baby spinach', '3/4 teaspoon salt', '1/4 teaspoon black pepper']","['Step 1', 'Cook shallots and garlic in oil and butter in a 12-inch nonstick skillet over moderate heat, stirring, until soft, about 6 minutes.', 'Step 2', 'Stir in peas and water and cook, covered, stirring occasionally, until peas are tender, about 5 minutes.', 'Step 3', 'Stir in spinach, salt, and pepper and cook, tossing, until spinach is just wilted, about 1 minute.']"
5000,Macaroni with Spiced Beef and Tomato Sauce,"['Makes 4 servings', '2 tablespoons olive oil', '1 pound ground sirloin', '2 large onions, halved, thinly sliced', '1 teaspoon ground cinnamon', '1/4 teaspoon cayenne pepper', '1/8 teaspoon ground cloves', '1/3 cup dry red wine', '2 tomatoes, cut into 1/2-inch pieces', '1 8-ounce can tomato sauce', '8 ounces large macaroni', 'Freshly grated Parmesan cheese']","['Step 1', 'Heat oil in heavy large pot over high heat. Add meat and onions and sauté until brown, about 10 minutes. Reduce heat to medium and add cinnamon, cayenne, and cloves; sauté 5 minutes. Add wine, tomatoes, and tomato sauce; simmer until mixture is thick, stirring occasionally, about 10 minutes. (Can be made 1 day ahead. Cool slightly. Chill sauce uncovered until cool, then cover and chill. Rewarm before continuing.)', 'Step 2', 'Cook pasta in a large pot of boiling salted water until just tender but still firm to bite, stirring occasionally. Drain. Add to sauce and toss to coat. Season to taste with salt and pepper. Transfer pasta to bowl. Sprinkle with grated Parmesan cheese and serve.']"
5001,Roasted Tomato and Red Bell Pepper Soup,"['Serves 4', '2 1/4 pounds tomatoes, halved lengthwise', '2 large red bell peppers, quartered, seeded', '1 onion, cut into thin wedges', '4 large garlic cloves, peeled', '2 tablespoons olive oil (preferably extra-virgin)', '1 teaspoon fresh thyme leaves or 1/2 teaspoon dried', '2 cups (about) water', '4 tablespoons part-skim ricotta cheese, room temperature', 'Fresh thyme sprigs (optional)']","['Step 1', 'Preheat oven to 450°F. Arrange tomatoes (cut side up), bell peppers, onion and garlic cloves on large baking sheet. Drizzle oil over; sprinkle generously with salt and pepper. Roast vegetables until brown and tender, turning peppers and onion occasionally, about 40 minutes. Remove from oven. Cool.', 'Step 2', 'Transfer vegetables and any accumulated juices to processor. Add thyme leaves. Puree soup, gradually adding enough water to thin soup to desired consistency. Chill until cold, about 3 hours. (Can be prepared 1 day ahead. Cover and keep refrigerated. If soup becomes too thick, thin with water to desired consistency.)', 'Step 3', 'Ladle soup into bowls. Top each with 1 tablespoon ricotta cheese. Garnish with thyme sprigs, if desired.']"
5002,Chive-Corn Muffins,"['Makes about 10 standard muffins or 30 mini-muffins', 'Nonstick vegetable oil spray', '1 cup all purpose flour', '1 cup yellow cornmeal', '1 tablespoon sugar', '2 teaspoons baking powder', '1 teaspoon salt', '1/2 teaspoon baking soda', '1/2 teaspoon cayenne pepper', '1/4 cup chopped fresh chives', '1 1/2 cups plain yogurt', '2 large eggs', '3 tablespoons unsalted butter, melted']","['Step 1', 'Position rack in center of oven and preheat to 425°F. Spray 10 standard muffin cups (each about 1/3-cup capacity) or 30 mini-muffin cups with nonstick spray. Whisk flour, cornmeal, sugar, baking powder, salt, baking soda, and cayenne pepper in medium bowl. Stir in chives. In another medium bowl whisk yogurt, eggs, and melted butter. Add yogurt mixture to dry ingredients and stir just until blended. Divide batter among prepared muffin cups, using about 1/3 cup batter for each standard muffin cup or about 1 generous tablespoon for each mini-muffin cup.', 'Step 2', 'Bake until muffins are puffed and golden and tester inserted into center comes out clean, about 20 minutes for standard muffins and 14 minutes for mini-muffins. Transfer pans to rack and let muffins cool in pans. (Can be prepared 4 hours ahead. Leave muffins in pans; let stand at room temperature. Rewarm in 350°F oven just until warm, about 5 minutes.) Remove from pans and serve.']"
5003,Greek-Italian Chopped Salad,"['Makes 6 servings', '6 tablespoons olive oil', '3 tablespoons white wine vinegar', '1 teaspoon dried oregano', '1 small garlic clove, minced', '6 cups chopped romaine lettuce', '1 15 1/2-ounce can garbanzo beans (chickpeas), drained', '1 red bell pepper, diced', '1 cup very thinly sliced red onion', '1 cup very thinly sliced fresh fennel bulb', '1/2 cup crumbled feta cheese (about 3 ounces)', '2 ounces thinly sliced Italian Genoa salami, cut into strips', '1/4 cup sliced pitted Kalamata olives']","['Step 1', 'Whisk oil, vinegar, oregano, and garlic in small bowl to blend. Season dressing to taste with salt and pepper.', 'Step 2', 'Combine lettuce, garbanzo beans, bell pepper, red onion, fennel, feta cheese, salami, and sliced olives in large bowl. Pour dressing over; toss to coat. Mound salad on platter and serve.']"
5004,Bagna Cauda,"['Serves 6', '3/4 cup olive oil', '6 tablespoons (3/4 stick) unsalted butter, room temperature', '12 anchovy fillets', '6 large garlic cloves, chopped', 'Assorted fresh vegetables, cut into bite-size pieces', '1 1-pound loaf crusty Italian or French bread, cutinto 2-inch sections']","['Step 1', 'Blend oil, butter, anchovies and garlic in processor until smooth. Transfer oil mixture to heavy medium saucepan. Cook over low heat 15 minutes, stirring, occasionally. (Sauce will separate.) Season with salt and pepper.', 'Step 2', 'Pour sauce into fondue pot or other flameproof casserole. Set pot over alcohol burner or gas table burner to keep warm. Serve with vegetables and bread.']"
5005,Island Macaroons,"['Makes about 24', '3 cups sweetened flaked coconut', '1 cup unsalted macadamia nuts, chopped', '2/3 cup sweetened condensed milk', '1 teaspoon vanilla extract', '2 egg whites', 'Pinch of salt', '6 ounces bittersweet (not unsweetened) or semisweet chocolate, chopped, melted']","['Step 1', 'Preheat oven to 350°F. Place coconut and macadamia nuts on large cookie sheet. Bake until lightly toasted, stirring frequently, about 12 minutes. Cool. Maintain oven temperature.', 'Step 2', 'Line 2 large cookie sheets with parchment paper. Grease parchment. Combine condensed milk and vanilla in large bowl. Mix in coconut and macadamia nuts thoroughly. Using electric mixer, beat egg whites and salt until stiff but not dry. Fold whites into coconut mixture. Drop batter by rounded tablespoons onto prepared cookie sheets. Bake until macaroons just turn golden brown around edges, about 14 minutes. Cool completely on cookie sheets.', 'Step 3', 'Line another cookie sheet with waxed paper. Dip cookie bottoms into melted chocolate. Place cookies, chocolate side down, on prepared cookie sheet. Refrigerate until chocolate is set, about 15 minutes. (Can be prepared 4 days ahead. Store cookies in airtight container in refrigerate.)']"
5006,Mushroom and Butternut Squash Empañadas,"['Makes 8 first-course servings', 'For empanada filling', '1 cup diced (1/4-inch) butternut squash', '1/2 cup finely chopped white onion', '6 small garlic cloves, minced', '1/4 cup olive oil', '2 (2- to 3-inch) fresh jalapeño chiles, seeds and ribs discarded and chiles finely chopped', '1 pound fresh exotic mushrooms such as chanterelles, porcini, or hedgehogs (all one kind, not a mixture), trimmed and coarsely chopped', '1/2 teaspoon salt', '1/3 cup chicken broth', 'For sauce', '1 dried pasilla de Oaxaca chile*', '3 garlic cloves, left unpeeled', '1 pound fresh tomatillos, husks discarded and tomatillos rinsed and quartered', '1/4 cup finely chopped white onion', '1/4 cup water', '1/2 teaspoon salt', 'For empanada crust', ""1/3 Café Azul's pastry dough (1 pound)"", '1 large egg, lightly beaten with 1 tablespoon water', '2 teaspoons coarse sea salt']","['Make empanada filling:', 'Step 1', 'Cook squash in a small saucepan of boiling salted water until just tender, about 2 minutes, then drain in a sieve.', 'Step 2', 'Cook onion and garlic in oil in a large heavy skillet over moderately low heat, stirring, until onion is softened, about 3 minutes. Add jalapeños and cook, stirring, 1 minute. Stir in mushrooms, salt, and broth and simmer, covered, until mushrooms are tender, 5 to 8 minutes. Simmer, uncovered, stirring occasionally, until liquid is evaporated, about 3 minutes, then stir in squash and salt to taste. Cool filling completely.', 'Make sauce:', 'Step 3', 'Heat a dry griddle or heavy skillet (preferably cast-iron) over moderately low heat until hot, then toast pasilla de Oaxaca chile, pressing down with tongs, 15 to 20 seconds on each side. Halve chile lengthwise and discard stem, ribs, and seeds.', 'Step 4', 'Heat griddle over moderately high heat until hot, then toast garlic until lightly blackened, 2 to 3 minutes on each side. Cool garlic slightly and peel.', 'Step 5', 'Simmer tomatillos, onion, water, chile, garlic, and salt in a large saucepan, covered, until tomatillos are very tender, about 20 minutes, and cool slightly. Remove 1 chile half and reserve, then purée sauce in a blender until smooth (use caution when blending hot liquids), adding as much of reserved chile half as necessary to achieve desired spiciness. Return sauce to pan and season with salt.', 'Form and bake empanadas:', 'Step 6', 'Preheat oven to 400°F.', 'Step 7', 'Divide dough into 8 equal pieces (2 ounces each) and form each into a disk. Roll out 1 piece on a lightly floured surface into a 6- to 7-inch round (1/8 inch thick). Spoon about 1/3 cup filling onto center and brush edge of pastry lightly with egg wash. Fold dough in half to form a half-moon, enclosing filling, and press edges together to seal. Crimp edge decoratively and transfer empanada with a spatula to a large baking sheet. Make 7 more empanadas in same manner.', 'Step 8', 'Lightly brush empanadas all over with some of remaining egg wash and sprinkle each with 1/4 teaspoon sea salt. Bake in middle of oven until golden, 25 to 30 minutes.', 'Step 9', 'While empanadas are baking, reheat sauce. Cut each empanada in half with a serrated knife and serve with about 3 tablespoons sauce spooned around it.', 'Step 10', 'Available at Latino markets and Kitchen/Market (888-468-4433).']"
5007,"Chicken, Onion, and Raisin Stew","['Makes 6 servings', '1/2 cup raisins or dried currants', '3 tablespoons red wine vinegar', '2 pounds small boiling onions', '6 tablespoons extra-virgin olive oil', '6 chicken leg-thigh pieces, cut apart', '1 28-ounce can diced tomatoes in juice', '1 cup canned low-salt chicken broth', '1/2 cup dry white wine', '1 tablespoon ground coriander', '1 teaspoon honey', '1 teaspoon ground allspice', '1 teaspoon coarsely ground black pepper', '2 bay leaves', 'Peel of 1 small orange, removed in strips using vegetable peeler', '1 cinnamon stick', '1 teaspoon dried oregano']","['Step 1', 'Combine raisins and vinegar in small bowl; set aside. Cook onions in large saucepan of boiling water 5 minutes. Drain; cool slightly. Trim and peel onions.', 'Step 2', 'Preheat oven to 350°F. Heat 3 tablespoons oil in heavy large ovenproof pot over medium-low heat. Add onions and sauté until golden, about 10 minutes; transfer to large bowl. Sprinkle chicken with salt and pepper. Add 1 tablespoon oil to same pot. Working in batches, add chicken to pot and cook over medium-high heat until golden brown, about 5 minutes per side. Add chicken to bowl with onions. Add tomatoes with juices, broth, wine, coriander, honey, allspice, and 1 teaspoon pepper to pot. Bring to boil, scraping up any browned bits. Return chicken and onions to pot. Stir in bay leaves, orange peel, cinnamon stick and oregano. Cover tightly and bake until chicken is cooked through, about 1 hour.', 'Step 3', 'Stir raisin mixture and remaining 2 tablespoons oil into stew. Season with salt and pepper. Transfer to shallow bowl.']"
5008,My Grandmother's Spaghetti,"['4 to 6 servings (Makes about 8 3/4 cups sauce)', '1 tablespoon olive oil', '1 large onion, finely chopped', '1 garlic clove, minced', '2 pounds lean ground beef', '1 tablespoon minced fresh parsley or 1 teaspoon, crumbled', '2 bay leaves', '1 tablespoon dried basil, crumbled', '1 28-ounce can Italian plum tomatoes, undrained', '3 1/2 cups water', '2 8-ounce cans tomato sauce', '1 6-ounce can tomato paste', '1 pound spaghetti', 'Freshly grated Parmesan cheese']","['Step 1', 'Heat oil in heavy large Dutch oven over medium heat. Add onion and garlic and sauté until onion is translucent, about 4 minutes. Add ground beef and cook until brown, breaking up with fork, about 8 minutes. Drain drippings from Dutch oven. Mix parsley, bay leaves and basil into beef and cook 2 minutes. Stir in tomatoes, water, tomato sauce and tomato paste. Simmer until reduced to sauce consistency, breaking up tomatoes with spoon, about 2 hours. Season with salt and pepper. (Can be prepared 2 days ahead. Cover and chill. Rewarm sauce over medium-low heat before using.)', 'Step 2', 'Cook spaghetti in large pot of boiling salted water until just tender but firm to bite, stirring occasionally. Drain well. Place spaghetti in serving bowl. Pour half of sauce over. Serve immediately, passing Parmesan cheese separately. (Refrigerate or freeze remaining sauce for another use.)']"
